username,time,followed,private,notavaliable,toomanyfollowers,liked,target,followedback,cantunfollow
ruda.koparka.xxl,1691424292.77861,False,False,False,False,False,boxdel,True,False
_m0_nika__,1691424336.2769833,False,False,False,False,False,boxdel,True,False
nati_uex9,1691424384.4090462,False,True,False,False,False,boxdel,False,False
nikola.slawska,1691424417.7641263,False,False,False,True,True,boxdel,False,False
nwm4411,1691424496.231531,False,True,False,False,False,boxdel,False,False
ola_franczyk_,1691424554.7274885,False,True,False,False,False,boxdel,False,False
ola.a.ola,1691424594.4366877,False,False,False,False,False,boxdel,False,False
oliwia_purtak,1691424657.3254364,False,False,False,False,False,boxdel,False,False
patryk.oleszak99,1691424696.5888512,False,False,False,True,True,boxdel,False,False
uciechowskiantoni,1691424738.227268,False,False,False,False,False,boxdel,False,False
kuzniarek.megapvv,1691424829.4074366,False,True,False,False,False,boxdel,False,False
s.ness7,1691424910.8199697,False,True,False,False,False,boxdel,False,False
rowery_to_bajery,1691424988.3501985,False,False,False,False,False,boxdel,False,False
vbielickv,1691425046.7500536,False,True,False,False,False,boxdel,False,False
zuzanna.boros,1691425084.7972426,False,False,False,False,False,boxdel,False,False
luka_sz326,1691425134.9797149,False,True,False,False,False,boxdel,False,False
zuzlik12,1691425191.2378173,True,False,False,False,True,boxdel,False,True
youngmulti_fanpage.x,1691425233.0425994,False,False,False,False,False,boxdel,False,False
ramona.kozicka,1691425313.7653108,False,True,False,False,False,boxdel,False,False
_prywatne__majeczki_,1691425405.90863,False,True,False,False,False,boxdel,False,False
bialykrysztal,1691425444.6689346,False,False,False,False,False,boxdel,False,False
ooliwia_,1691425495.0819771,False,True,False,False,False,jakubroskosz,False,False
pocztello,1691429058.9873142,False,False,False,False,True,jakubroskosz,False,False
drewnaldinho,1691429093.3145382,False,False,False,False,False,jakubroskosz,False,False
tyczka0,1691429170.5330176,False,True,False,False,False,jakubroskosz,False,False
prawo_dla_kobiet,1691429210.6487246,True,False,False,False,False,jakubroskosz,False,True
mj_lodz,1691429285.6967995,False,False,False,False,False,jakubroskosz,False,False
kamil.koww,1691429376.8506432,False,True,False,False,False,jakubroskosz,False,False
adam.cen,1691429469.6697378,False,True,False,False,False,jakubroskosz,False,False
albert_g.len,1691429511.965539,False,False,False,False,False,jakubroskosz,False,False
xagigik,1691429552.6158366,False,False,False,False,True,jakubroskosz,False,False
bartek.adamczyk.56,1691429603.3825235,False,True,False,False,False,jakubroskosz,False,False
sztuczka.b,1691429635.531302,False,False,False,False,False,jakubroskosz,False,False
bpilecki19,1691429706.441799,False,False,False,False,False,jakubroskosz,False,False
phossphor,1691429750.437919,False,False,False,False,True,jakubroskosz,False,False
dajkeszmi,1691429805.372667,False,False,False,True,False,jakubroskosz,False,False
dkisiel_,1691429883.0518076,False,True,False,False,False,jakubroskosz,False,False
gabiss_00,1691429932.0795126,False,False,False,False,True,jakubroskosz,False,False
timonvv7,1691429988.706555,False,True,False,False,False,jakubroskosz,False,False
honorata_x,1691430028.3622313,False,False,False,True,True,jakubroskosz,False,False
jvcccob,1691430069.0670524,False,False,False,False,True,jakubroskosz,False,False
jan_stepniak,1691430148.538399,False,True,False,False,False,jakubroskosz,False,False
klabecki,1691430229.5954833,False,True,False,False,False,jakubroskosz,False,False
sxzytaw,1691430278.809996,False,True,False,False,False,jakubroskosz,False,False
juliabator_,1691430362.367757,False,True,False,False,False,jakubroskosz,False,False
kamilzembrzuski,1691430409.1446187,False,True,False,False,False,jakubroskosz,False,False
k__mazurkiewicz,1691430471.710537,False,True,False,False,False,jakubroskosz,False,False
abrilld2018,1691430545.7219896,False,False,False,False,False,jakubroskosz,False,False
kasia.rypel,1691430597.1843152,False,False,False,False,True,jakubroskosz,False,False
konrad.lach,1691430668.3446126,False,False,False,False,False,jakubroskosz,False,False
krystian_im,1691430711.7312298,False,False,False,False,True,jakubroskosz,False,False
fasterthanthunder,1691430803.8493297,False,True,False,False,False,jakubroskosz,False,False
maciek_mysiak,1691430845.4476602,False,False,False,True,True,jakubroskosz,False,False
mariaswig,1691430930.4953957,False,True,False,False,False,jakubroskosz,False,False
mateusz_pniak,1691430989.962662,False,False,False,False,False,jakubroskosz,False,False
mateuszjestemm,1691431084.5319998,False,True,False,False,False,jakubroskosz,False,False
igaella,1691431568.5166698,False,False,False,True,False,jakubroskosz,False,False
nakonskirozumcom,1691431614.2248783,False,False,False,False,True,jakubroskosz,False,False
kamykasia,1691431692.9799662,False,True,False,False,False,jakubroskosz,False,False
ecki420,1691431771.992756,False,True,False,False,False,jakubroskosz,False,False
magdabar_oli,1691431856.9587524,False,True,False,False,False,jakubroskosz,False,False
pwuftalkscars,1691432377.7961257,False,False,True,False,True,jakubroskosz,False,False
skretowskamonika,1691432417.2400963,False,False,False,False,True,jakubroskosz,False,False
wioorek,1691432496.8202164,False,True,False,False,False,jakubroskosz,False,False
mid.ttt,1691432550.5702667,False,False,False,False,True,jakubroskosz,False,False
paciue30,1691432631.9226186,False,True,False,False,False,jakubroskosz,False,False
ostylu,1691432684.3774805,False,False,False,False,True,jakubroskosz,False,False
mrjussi,1691432769.5270584,False,True,False,False,False,jakubroskosz,False,False
prywaciarz96,1691432836.1290216,False,False,False,False,False,jakubroskosz,False,False
sasha0348,1691432874.3706582,False,False,False,False,False,jakubroskosz,False,False
sewerynrozum,1691432912.7902577,False,False,False,False,False,jakubroskosz,False,False
sikorekk,1691432982.4351346,False,False,False,True,False,jakubroskosz,False,False
porebskiwiktor,1691433029.5451975,False,True,False,False,False,jakubroskosz,False,False
asia_matczak,1691433070.812504,False,False,False,False,True,jakubroskosz,False,False
_egi_8,1691433134.736819,False,False,False,False,False,jakubroskosz,False,False
smaavo,1691433181.2463825,False,True,False,False,False,jakubroskosz,False,False
robertxvxv,1691433272.762556,False,True,False,False,False,karolina_pisarek,False,False
_bajkowo,1691433327.2658937,False,True,False,False,False,karolina_pisarek,False,False
filip_gda,1691433369.4114287,False,False,False,False,False,karolina_pisarek,True,False
wera45665,1691433444.0053563,False,False,False,False,False,karolina_pisarek,False,False
joann0770,1691433478.2837806,False,False,False,False,False,karolina_pisarek,False,False
kaziorbalaganiarz,1691433518.4409416,False,False,False,False,False,karolina_pisarek,False,False
pola_pawliczek,1691433548.521212,False,False,False,False,False,karolina_pisarek,False,False
ahmad.ozair.7545,1691433595.6128645,False,False,False,False,True,karolina_pisarek,True,False
annasstardust,1691433681.157192,False,True,False,False,False,karolina_pisarek,False,False
fraczakb,1691433725.6818492,False,False,False,False,False,karolina_pisarek,False,False
poprostukrisu5,1691433784.2274344,False,True,False,False,False,karolina_pisarek,False,False
deepika_lover007,1691433843.0718312,False,False,False,False,False,karolina_pisarek,False,False
domisko96,1691433872.230919,False,False,False,False,False,karolina_pisarek,True,False
wojtowiczg_,1691433963.3376234,False,True,False,False,False,karolina_pisarek,False,False
ilonakosciecha,1691434024.2751298,False,False,False,False,False,karolina_pisarek,False,False
justin_uzziah_nabong_casino,1691434067.3283308,False,False,False,False,True,karolina_pisarek,True,False
karolina_nowaczykk,1691434139.952102,False,False,False,False,False,karolina_pisarek,False,False
kasia.serwa,1691434182.1649845,False,False,False,False,False,karolina_pisarek,False,False
klaudiaparczala,1691434234.7687414,False,True,False,False,False,karolina_pisarek,False,False
91_lili_91,1691434263.0174966,False,False,False,False,False,karolina_pisarek,True,False
m.radlinskaa,1691434305.3354015,False,False,False,False,False,karolina_pisarek,False,False
martticek,1691434364.6346211,False,False,False,False,False,karolina_pisarek,False,False
bickamagdalena,1691434396.9632494,False,False,False,False,False,karolina_pisarek,False,False
michal_x.x_,1691434471.4843335,False,False,False,False,False,karolina_pisarek,False,False
minadze.mmail.ru6,1691434544.3115492,True,False,False,False,False,karolina_pisarek,False,True
podsiadlo1548,1691434574.5038085,False,False,False,False,False,karolina_pisarek,False,False
taaalci,1691434667.3148353,False,True,False,False,False,karolina_pisarek,False,False
natallkaa.g_,1691434715.0744605,False,False,False,True,True,karolina_pisarek,False,False
natalia.tomczykk,1691434755.213664,False,False,False,False,False,karolina_pisarek,False,False
nataliipestki,1691434789.4478612,True,False,False,False,False,karolina_pisarek,False,True
patryvja.a,1691434833.5493033,False,False,False,False,False,karolina_pisarek,False,False
qari_abu_ubaida_7_86,1691434877.469561,False,False,False,True,True,karolina_pisarek,False,False
smiskiewicz,1691434929.208694,False,False,False,False,True,karolina_pisarek,False,False
shuvo42221,1691434993.0224705,False,False,False,True,False,karolina_pisarek,False,False
werkak_,1691435082.1241858,False,True,False,False,False,karolina_pisarek,False,False
mycot1912,1691435132.7305212,False,True,False,False,False,karolina_pisarek,False,False
yourchoiceinclothes,1691435162.8386052,False,False,False,False,False,karolina_pisarek,False,False
zuza_waszak,1691435199.0985637,False,False,False,False,False,karolina_pisarek,False,False
zooz.olka,1691435239.390864,False,False,False,False,False,karolina_pisarek,False,False
lila737372,1691435328.3643212,False,True,False,False,False,karolina_pisarek,False,False
daniyel_nikolic,1691435379.6230073,False,False,False,False,True,karolina_pisarek,False,False
sikorkaa_xd,1691435454.5544364,False,False,False,False,False,karolina_pisarek,False,False
